Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Premium Spirits & Liquors,100 PIPERS SCOTCH WHISKY,1L,12,1010.0,1360,2730,84.17,110,230
Premium Spirits & Liquors,ABERFELDY 12Y 40%,1L,6,1355.0,1830,3660,225.83,300,610
Premium Spirits & Liquors,ABERFELDY 12Y 40%,700ML,6,1235.0,1670,3330,205.83,280,560
Premium Spirits & Liquors,ABERFELDY 16Y 40%,700ML,6,2065.0,2790,5580,344.17,460,930
Premium Spirits & Liquors,ABERLOUR 12Y 40% DOUBLE CASK,1L,6,1460.0,1970,3940,243.33,330,660
Premium Spirits & Liquors,ABSOLUT APEACH 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT APEACH,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT APPLE 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT BLUE,1.14L,6,630.0,850,1700,105.0,140,280
Premium Spirits & Liquors,ABSOLUT BLUE 40%,1L,12,970.0,1310,2620,80.83,110,220
Premium Spirits & Liquors,ABSOLUT BLUE 40%,750ML,12,950.0,1280,2570,79.17,110,210
Premium Spirits & Liquors,ABSOLUT CITRON 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT CITRON,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT ELYX 42.3%,1L,6,1055.0,1420,2850,175.83,240,470
Premium Spirits & Liquors,ABSOLUT GRAPE 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT KURRANT 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT KURRANT,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT LIME 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT LIME 40%,75CL,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT MANDRIN,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT MANDRIN 40%,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT MANGO 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT MANGO,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT PEARS 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT PEARS,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT PEPPER 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT PEPPER,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT RASPBERRI 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT RASPBERRY,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT RUBY RED 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT RUBY RED,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT VANILLA 40%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ABSOLUT VANILLA,750ML,12,955.0,1290,2580,79.58,110,210
Premium Spirits & Liquors,ABSOLUT WATERMELON 38%,1L,12,975.0,1320,2630,81.25,110,220
Premium Spirits & Liquors,ARDBEG 10Y 46%,1L,6,1410.0,1900,3810,235.0,320,630
Premium Spirits & Liquors,ARDBEG AN OA 46.6%,1L,6,1560.0,2110,4210,260.0,350,700
Premium Spirits & Liquors,ARDMORE TRADITIONAL PEATED 40%,1L,6,980.0,1320,2650,163.33,220,440
Premium Spirits & Liquors,ARDMORE TRIPLEWOOD 46%,1L,6,1270.0,1710,3430,211.67,290,570
Premium Spirits & Liquors,AUCHENTOSHAN 12Y 40%,700ML,6,1140.0,1540,3080,190.0,260,510
Premium Spirits & Liquors,AUCHENTOSHAN 18Y 43%,700ML,6,2130.0,2880,5750,355.0,480,960
Premium Spirits & Liquors,AUCHENTOSHAN 21Y 43%,700ML,6,4080.0,5510,11020,680.0,920,1840
Premium Spirits & Liquors,AUCHENTOSHAN 3 WOOD 43%,700ML,6,1365.0,1840,3690,227.5,310,610
Premium Spirits & Liquors,AUCHENTOSHAN AMERICAN OAK 40%,1L,12,2045.0,2760,5520,170.42,230,460
Premium Spirits & Liquors,AUCHENTOSHAN DARK OAK 43%,1L,12,2030.0,2740,5480,169.17,230,460
Premium Spirits & Liquors,AUCHENTOSHAN HEARTWOOD 43%,1L,12,2080.0,2810,5620,173.33,230,470
Premium Spirits & Liquors,AUCHENTOSHAN SPRINGWOOD,1L,12,2015.0,2720,5440,167.92,230,450
Premium Spirits & Liquors,AULTMORE 12Y 46%,1L,6,1620.0,2190,4370,270.0,360,730
Premium Spirits & Liquors,AULTMORE 12Y 46%,700ML,6,1385.0,1870,3740,230.83,310,620
Premium Spirits & Liquors,BACARDI APPLE 32%,1L,6,685.0,920,1850,114.17,150,310
Premium Spirits & Liquors,BACARDI APPLE 35%,750ML,12,830.0,1120,2240,69.17,90,190
Premium Spirits & Liquors,BACARDI CARTA BLANCA 40%,1L,12,945.0,1280,2550,78.75,110,210
Premium Spirits & Liquors,BACARDI CARTA BLANCA 40%,750ML,12,890.0,1200,2400,74.17,100,200
Premium Spirits & Liquors,BACARDI CARTA NEGRA 40%,1L,12,880.0,1190,2380,73.33,100,200
Premium Spirits & Liquors,BACARDI COCONUT 35%,750ML,12,830.0,1120,2240,69.17,90,190
Premium Spirits & Liquors,BACARDI GOLD (ORO) 40%,1L,12,1070.0,1440,2890,89.17,120,240
